hospital,address,service_name,price,duration,discount,treatment_type,duration_minutes,service_name_translated
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Venancia’s Saude e Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Estetika Beauty,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
DanMorelli Espaco Beleza,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Giovana Alberti - Estética Integrativa,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
clinica Samanta Melo,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Santé Esthétique,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Gisele Capelli Embelezamento Ltda,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Vitalité,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Vitalité,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Vitalité,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Vitalité,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Vitalité,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Vitalité,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
Cristiane Oliveira Estética Avançada,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
CLIN DRA MONICA SALVADOR,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,2,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT - BOLSA OCULAR,790,(20 minutos),,Ultraformer MPT,20,Ultraformer MPT - BOLSA OCULAR
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(120 minutos),,Ultraformer MPT,120,Ultraformer MPT- ABDOMEN INFERIOR***FLACIDEZ ou QUEIMA de GORDURA
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA,4.29,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT- ABDOMEN SUPERIOR***FLACIDEZ ou QUEIMA de GORDURA
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT- BICHECTOMIA,1.35,(40 minutos),,Ultraformer MPT,40,Ultraformer MPT- BICHECTOMIA
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - TERÇO MÉDIO,2.772,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - TERÇO MÉDIO
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - ABDOME,3.588,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - ABDOME
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - CULOTE / BANANINHA,2.277,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - CULOTE / BANANINHA
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - FOX EYES,1.648,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - FOX EYES
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",ULTRAFORMER MPT - INT COXA,2.92,(60 minutos),,Ultraformer MPT,60,ULTRAFORMER MPT - INT COXA
ESPAÇO IRIS FRANÇA,"Rua Esmeralda, 47, Aclimação",Ultraformer MPT,650,(60 minutos),,Ultraformer MPT,60,Ultraformer MPT
